Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1772;0.000429874106907928;0.00395037692969871;0.0353325022752842;0.0161083839150228;0.00339615733736763;0.01745;0.07729;0;0;54166;4186.03;3330;0;139.7;0;3330;139.7;50836;4046.33
1773;0.000316768878903799;0.00654162352941177;0.0239817849646533;0.00809438742911908;0.00252496799720703;0.01267;0.05018;0;0;52769;3918.29;2885;0;125.3;0;2885;125.3;49884;3792.99
1774;0.000262549436314692;0.00983382507890961;0.0166096699746444;0.00390826930756329;0.00237534504829512;0.01098;0.03009;0;0;52393;3638.75;2571;0;138;0;2571;138;49822;3500.75
1775;0.000293200558625296;0.0125609042180775;0.011547503433916;0.001480144557144;0.00291555568485977;0.02698;0.00949;0;0;49002;3315.85;2184;0;138.5;0;2184;138.5;46818;3177.35
1776;0.000557818932539923;0.0155936033285509;0.00903249925276644;0.000556267869978436;0.00342935412545095;0.05807;0.00417;0;0;45940;3125.01;1944;0;139.6;0;1944;139.6;43996;2985.41
1777;0.00120242941283624;0.0164928315638451;0.00938776316894195;0.000226522641961505;0.00372141976026999;0.1089;0.00416;0;0;44412;3004.75;1750;0;133.3;0;1750;133.3;42662;2871.45
1778;0.00209373469346449;0.0178351353802009;0.0114994790522728;0.000139631419215718;0.00399236937041778;0.16298;0.01007;0;0;43895;2980.64;1787;0;108.1;0;1787;108.1;42108;2872.54
1779;0.00330386058655656;0.0204613862840746;0.0160131380786862;0.000179381838511301;0.00523474339578727;0.23106;0.0339;0;0;44538;3014.85;2094;0;115.5;0;2094;115.5;42444;2899.35
1780;0.00451388750581901;0.0234121408321377;0.0250554583312344;0.000636109336314991;0.0063684731758408;0.29814;0.07082;0;0;46297;3100.3;2556;0;127.4;0;2556;127.4;43741;2972.9
1781;0.00684209484486004;0.0260181982209469;0.0370017455040048;0.00239316268668637;0.00691120446875364;0.34532;0.11778;0;0;50394;3359.4;3128;0;193;0.01;3128;193.01;47266;3166.39
