"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","22.05.2018 07:00 - 22.05.2018 08:00 (CET)","332","n/e","n/e","2801","0","0","n/e","n/e","n/e","9","","6","n/e","n/e","3428","493","n/e","355","198","150","42"
"BZN|BE","22.05.2018 08:00 - 22.05.2018 09:00 (CET)","349","n/e","n/e","3090","0","0","n/e","n/e","n/e","274","","6","n/e","n/e","3433","576","n/e","794","196","102","35"
"BZN|BE","22.05.2018 09:00 - 22.05.2018 10:00 (CET)","358","n/e","n/e","3087","0","0","n/e","n/e","n/e","852","","5","n/e","n/e","3427","618","n/e","1326","190","48","29"
"BZN|BE","22.05.2018 10:00 - 22.05.2018 11:00 (CET)","346","n/e","n/e","3006","0","0","n/e","n/e","n/e","558","","3","n/e","n/e","3421","609","n/e","1777","185","25","32"
"BZN|BE","22.05.2018 11:00 - 22.05.2018 12:00 (CET)","313","n/e","n/e","2991","0","0","n/e","n/e","n/e","284","","3","n/e","n/e","3410","590","n/e","2106","186","11","32"
"BZN|BE","22.05.2018 12:00 - 22.05.2018 13:00 (CET)","318","n/e","n/e","2976","0","0","n/e","n/e","n/e","130","","3","n/e","n/e","3402","623","n/e","2224","188","16","38"
"BZN|BE","22.05.2018 13:00 - 22.05.2018 14:00 (CET)","326","n/e","n/e","3028","0","0","n/e","n/e","n/e","386","","2","n/e","n/e","3397","671","n/e","1911","183","30","52"
"BZN|BE","22.05.2018 14:00 - 22.05.2018 15:00 (CET)","326","n/e","n/e","3060","0","0","n/e","n/e","n/e","426","","1","n/e","n/e","3396","680","n/e","1471","186","81","69"
"BZN|BE","22.05.2018 15:00 - 22.05.2018 16:00 (CET)","339","n/e","n/e","3058","0","0","n/e","n/e","n/e","236","","2","n/e","n/e","3270","696","n/e","1185","185","113","119"
"BZN|BE","22.05.2018 16:00 - 22.05.2018 17:00 (CET)","338","n/e","n/e","3117","0","0","n/e","n/e","n/e","64","","4","n/e","n/e","3028","669","n/e","942","190","148","112"
