Timestep,Load,LFS,LFW,ResidualLoad
6655,9126,0,0.1480545730166751,8833
6656,10376,0,0.16978271854471955,10040
6657,10803,0.044226773523300685,0.1864578069732188,10285
6658,10787,0.19976254081329772,0.15462354724608388,9808
6659,10836,0.3778569308400119,0.09348155634158666,9378
6660,10800,0.5037102997922233,0.02223345123799899,9059
6661,10417,0.5752448797862867,0.01212733703890854,8455
6662,10337,0.5945384387058474,0.007074279939363315,8320
6663,10199,0.5651528643514396,0.00808489135927236,8279
6664,9945,0.4882754526565746,0.011116725618999495,8278
6665,9969,0.3550014841199169,0.010611419909044972,8752
6666,10114,0.17868803799346988,0.0202122283981809,9472
6667,10287,0.0365093499554764,0.0404244567963618,10084
6668,10275,0.00029682398337785694,0.06670035371399696,10142
6669,10450,0,0.0808489135927236,10290
6670,10014,0,0.10156644770085901,9813
6671,9532,0,0.17028802425467407,9195
6672,9482,0,0.1995957554320364,9087
6673,8914,0,0.1869631126831733,8544
6674,8209,0,0.15866599292572006,7895
6675,7729,0,0.1869631126831733,7359
6676,7603,0,0.19050025265285497,7226
6677,7535,0,0.21222839818089945,7115
6678,7554,0,0.18948964123294593,7179
6679,7638,0,0.1819100555836281,7278
6680,8125,0,0.20060636685194544,7728
6681,8405,0.039477589789254974,0.22738756947953512,7822
6682,8799,0.1798753339269813,0.17180394138453764,7853
6683,9195,0.3452062926684476,0.12177867609903992,7791
6684,9307,0.4594835262689225,0.08741788782213239,7586
6685,9288,0.5037102997922233,0.08590197069226882,7421
6686,9037,0.5360641139804097,0.13340070742799393,6967
6687,8838,0.5206292668447611,0.1930267812026276,6702
6688,8823,0.43158207183140396,0.17988883274381,7013
6689,8795,0.27070347284060553,0.18039413845376454,7526
6690,8880,0.11041852181656278,0.1278423446184942,8255
6691,9126,0.01365390323538142,0.08640727640222334,8909
6692,9468,0,0.08893380495199596,9292
6693,9534,0,0.11066195048004042,9315
6694,8838,0,0.12228398180899444,8596
6695,8674,0,0.1819100555836281,8314
6696,8496,0,0.21020717534108135,8080
6697,8095,0,0.19151086407276402,7716
6698,7671,0,0.27033855482566954,7136
6699,7148,0,0.39009600808489137,6376
6700,6940,0,0.3451237998989389,6257
6701,6823,0,0.3436078827690753,6143
6702,6906,0,0.3239009600808489,6265
6703,7082,0,0.25467407781707935,6578
6704,7379,0,0.23900960080848913,6906
6705,7531,0.004155535767289997,0.19151086407276402,7138
6706,8034,0.04303947758978925,0.23244062657908035,7429
6707,8532,0.20035618878005343,0.23496715512885297,7392
6708,8730,0.385871178391214,0.20010106114199092,7034
6709,8817,0.43158207183140396,0.16270843860535625,7041
6710,8744,0.46423271000296823,0.1394643759474482,6904
6711,8414,0.4876818046898189,0.12026275896917635,6533
6712,8414,0.400415553576729,0.1056088933804952,6856
6713,8211,0.2879192638765212,0.05709954522486104,7128
6714,8317,0.14663104778866132,0.04901465386558868,7726
6715,8760,0.030572870287919263,0.037897928246589184,8582
6716,9221,0,0.04295098534613441,9136
6717,9429,0,0.06821627084386053,9294
6718,9099,0,0.09348155634158666,8914
6719,8685,0,0.07225871652349672,8542
6720,8644,0,0.05305709954522486,8539
6721,8008,0,0.028802425467407782,7951
6722,7626,0,0.01819100555836281,7590
6723,7403,0,0.012632642748863061,7378
6724,7273,0,0.014653865588681153,7244
6725,7598,0,0.015159171298635674,7568
6726,7915,0,0.01819100555836281,7879
6727,8784,0,0.022738756947953513,8739
6728,10216,0,0.027286508337544216,10162
6729,10551,0.03799346987236569,0.033855482566953005,10356
6730,10617,0.16770555060848916,0.04194037392622536,9969
6731,10499,0.3455031166518255,0.02829711975745326,9279
6732,10595,0.4588898783021668,0.020717534108135423,9008
6733,10396,0.5090531314930247,0.024759979787771603,8632
6734,10168,0.5265657465123182,0.027791814047498736,8339
6735,10144,0.5063817156426239,0.02829711975745326,8382
6736,10134,0.4321757197981597,0.027791814047498736,8623
6737,10053,0.26209557732264765,0.025770591207680646,9119
6738,10291,0.11427723360047491,0.02425467407781708,9858
6739,10493,0.02523003858711784,0.02425467407781708,10360
6740,10827,0,0.024759979787771603,10778
6741,11074,0,0.02627589691763517,11022
6742,10246,0,0.025770591207680646,10195
6743,9761,0,0.027286508337544216,9707
6744,9458,0,0.03436078827690753,9390
6745,8998,0,0.045477513895907026,8908
6746,8549,0,0.04295098534613441,8464
6747,8210,0,0.04446690247599798,8122
6748,8173,0,0.043961596766043456,8086
6749,8229,0,0.03436078827690753,8161
6750,8387,0,0.04345629105608893,8301
6751,9233,0,0.060131379484588174,9114
6752,10529,0,0.10207175341081354,10327
6753,11009,0.03176016622143069,0.11571500757958565,10673
6754,11064,0.1543484713564856,0.07630116220313289,10393
6755,10991,0.3170080142475512,0.0404244567963618,9843
6756,11037,0.44672009498367465,0.02223345123799899,9488
6757,10664,0.5197387948946275,0.021222839818089943,8871
6758,10571,0.5470466013653903,0.021222839818089943,8686
6759,10463,0.5143959631938261,0.020717534108135423,8689
6760,10447,0.42623924013060255,0.019201616978271854,8973
6761,10351,0.30632235084594833,0.01616978271854472,9287
6762,10449,0.14633422380528346,0.015664477008590198,9925
6763,10702,0.029385574354407838,0.015159171298635674,10573
6764,10816,0,0.019706922688226377,10777
6765,10905,0,0.039413845376452754,10827
6766,10353,0,0.06316321374431531,10228
6767,9846,0,0.11520970186963113,9618
6768,9692,0,0.13239009600808488,9430
6769,9018,0,0.14704396159676605,8727
6770,8323,0,0.1480545730166751,8030
6771,8047,0,0.16321374431531077,7724
6772,8142,0,0.12278928751894896,7899
6773,8041,0,0.10207175341081354,7839
6774,8420,0,0.0853966649823143,8251
6775,9161,0,0.07276402223345124,9017
6776,10558,0,0.09044972208185953,10379
6777,10857,0.028198278420896408,0.1101566447700859,10544
6778,10869,0.15612941525675275,0.12430520464881253,10097
6779,10807,0.3285841495992876,0.12026275896917635,9462
6780,10785,0.4603739982190561,0.08489135927235977,9066
6781,10657,0.5390323538141882,0.08590197069226882,8671
6782,10551,0.5627782724844167,0.10661950480040425,8444
6783,10411,0.5330958741466311,0.11975745325922182,8378
6784,10343,0.4505788067675868,0.10813542193026782,8611
6785,10372,0.3122588305135055,0.1076301162203133,9107
6786,10234,0.13772632828732562,0.1192521475492673,9534
6787,10692,0.0213713268032057,0.13137948458817586,10360
6788,10845,0,0.1662455785750379,10516
6789,10812,0,0.2203132895401718,10376
6790,9950,0,0.22839818089944416,9498
6791,9725,0,0.2769075290550783,9177
6792,9440,0,0.32844871147043964,8790
6793,8824,0,0.30874178878221326,8213
6794,8094,0,0.2784234461849419,7543
6795,7929,0,0.29105608893380497,7353
6796,7905,0,0.24962102071753411,7411
6797,7589,0,0.22081859525012631,7152
6798,8133,0,0.2561899949469429,7626
6799,8765,0,0.30520464881253156,8161
6800,10088,0,0.38858009095502777,9319
6801,10798,0.013357079252003561,0.33804951995957555,10084
6802,10769,0.05431878895814782,0.2248610409297625,10141
6803,10959,0.15078658355595131,0.16725618999494693,10120
6804,10962,0.3107747105966162,0.14502273875694796,9628
6805,10854,0.4965865241911546,0.20363820111167255,8778
6806,10545,0.5298308103294747,0.32693279434057604,8113
6807,10364,0.5235975066785397,0.27741283476503287,8051
6808,10182,0.44493915108340754,0.26680141485598785,8155
6809,10189,0.3098842386464826,0.2961091460333502,8559
6810,10600,0.12288512911843277,0.2961091460333502,9600
6811,10862,0.014841199168892847,0.19454269833249116,10427
